id,nombre,categoria,precio_ars,stock,descripcion,marca,modelo,color,material,peso_gramos,dimensiones,garantia_meses,uso_recomendado,caracteristicas_extra,tags,descripcion_rica,origen,contenido_caja,garantia_detalle
MOU0011,Mouse Razer DeathAdder V3 Negro,mouse,132000,3,"Razer DeathAdder V3, color Negro. sensor optico. peso 114g. dimensiones 12.2x7.0x3.9 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Razer,DeathAdder V3,Negro,Plastico ABS,114,12.2x7.0x3.9 cm,24,Gaming,sensor optico,"deathadder, deathadder v3, gamer, gaming, mause, mouse, optico, puntero, raton, razer, sensor optico","Razer DeathAdder V3, color Negro. sensor optico. peso 114g. dimensiones 12.2x7.0x3.9 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Razer de Estados Unidos. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Razer de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0012,Mouse Razer DeathAdder V3 Blanco,mouse,132000,20,"Razer DeathAdder V3, color Blanco. sensor optico. peso 104g. dimensiones 12.7x5.9x3.7 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Razer,DeathAdder V3,Blanco,Plastico ABS,104,12.7x5.9x3.7 cm,24,Gaming,sensor optico,"blanco, deathadder, deathadder v3, gamer, gaming, mause, mouse, optico, puntero, raton, razer, sensor optico","Razer DeathAdder V3, color Blanco. sensor optico. peso 104g. dimensiones 12.7x5.9x3.7 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Razer de Estados Unidos. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Razer de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0013,Mouse Razer Viper V3 Pro Negro,mouse,231500,0,"Razer Viper V3 Pro, color Negro. sensor optico. peso 127g. dimensiones 12.6x6.3x4.1 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Razer,Viper V3 Pro,Negro,Plastico ABS,127,12.6x6.3x4.1 cm,24,Gaming,sensor optico,"gamer, gaming, mause, mouse, optico, pro, puntero, raton, razer, sensor optico, viper, viper v3 pro","Razer Viper V3 Pro, color Negro. sensor optico. peso 127g. dimensiones 12.6x6.3x4.1 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Razer de Estados Unidos. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Razer de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0014,Mouse Razer Viper V3 Pro Blanco,mouse,231500,10,"Razer Viper V3 Pro, color Blanco. sensor optico. peso 115g. dimensiones 12.9x6.3x4.4 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Razer,Viper V3 Pro,Blanco,Plastico ABS,115,12.9x6.3x4.4 cm,24,Gaming,sensor optico,"blanco, gamer, gaming, mause, mouse, optico, pro, puntero, raton, razer, sensor optico, viper, viper v3 pro","Razer Viper V3 Pro, color Blanco. sensor optico. peso 115g. dimensiones 12.9x6.3x4.4 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Razer de Estados Unidos. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Razer de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0015,Mouse Razer Basilisk V3 Negro,mouse,95500,4,"Razer Basilisk V3, color Negro. sensor optico. peso 120g. dimensiones 11.3x6.2x4.2 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Razer,Basilisk V3,Negro,Plastico ABS,120,11.3x6.2x4.2 cm,24,Gaming,sensor optico,"basilisk, basilisk v3, gamer, gaming, mause, mouse, optico, puntero, raton, razer, sensor optico","Razer Basilisk V3, color Negro. sensor optico. peso 120g. dimensiones 11.3x6.2x4.2 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Razer de Estados Unidos. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Razer de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0016,Mouse Razer Basilisk V3 Blanco,mouse,95500,13,"Razer Basilisk V3, color Blanco. sensor optico. peso 105g. dimensiones 12.0x6.1x3.9 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Razer,Basilisk V3,Blanco,Plastico ABS,105,12.0x6.1x3.9 cm,24,Gaming,sensor optico,"basilisk, basilisk v3, blanco, gamer, gaming, mause, mouse, optico, puntero, raton, razer, sensor optico","Razer Basilisk V3, color Blanco. sensor optico. peso 105g. dimensiones 12.0x6.1x3.9 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Razer de Estados Unidos. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Razer de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0017,Mouse Redragon Cobra M711 Negro,mouse,23000,14,"Redragon Cobra M711, color Negro. sensor optico. peso 118g. dimensiones 11.5x6.4x3.9 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Redragon,Cobra M711,Negro,Plastico ABS,118,11.5x6.4x3.9 cm,24,Gaming,sensor optico,"cobra, cobra m711, gamer, gaming, m711, mause, mouse, optico, puntero, raton, redragon, sensor optico","Redragon Cobra M711, color Negro. sensor optico. peso 118g. dimensiones 11.5x6.4x3.9 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Redragon de China. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Redragon de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0018,Mouse Redragon Cobra M711 Blanco,mouse,23000,8,"Redragon Cobra M711, color Blanco. sensor optico. peso 132g. dimensiones 11.2x6.2x3.8 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Redragon,Cobra M711,Blanco,Plastico ABS,132,11.2x6.2x3.8 cm,24,Gaming,sensor optico,"blanco, cobra, cobra m711, gamer, gaming, m711, mause, mouse, optico, puntero, raton, redragon, sensor optico","Redragon Cobra M711, color Blanco. sensor optico. peso 132g. dimensiones 11.2x6.2x3.8 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Redragon de China. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Redragon de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0019,Mouse Redragon King Cobra Negro,mouse,29000,6,"Redragon King Cobra, color Negro. sensor optico. peso 142g. dimensiones 10.8x6.4x3.9 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Redragon,King Cobra,Negro,Plastico ABS,142,10.8x6.4x3.9 cm,24,Gaming,sensor optico,"cobra, gamer, gaming, king, king cobra, mause, mouse, optico, puntero, raton, redragon, sensor optico","Redragon King Cobra, color Negro. sensor optico. peso 142g. dimensiones 10.8x6.4x3.9 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Redragon de China. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Redragon de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0020,Mouse Redragon King Cobra Blanco,mouse,29000,11,"Redragon King Cobra, color Blanco. sensor optico. peso 76g. dimensiones 12.5x6.5x4.1 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Redragon,King Cobra,Blanco,Plastico ABS,76,12.5x6.5x4.1 cm,24,Gaming,sensor optico,"blanco, cobra, gamer, gaming, king, king cobra, mause, mouse, optico, puntero, raton, redragon, sensor optico","Redragon King Cobra, color Blanco. sensor optico. peso 76g. dimensiones 12.5x6.5x4.1 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Redragon de China. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Redragon de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0021,Mouse HyperX Pulsefire Haste 2 Negro,mouse,75500,25,"HyperX Pulsefire Haste 2, color Negro. sensor optico. peso 120g. dimensiones 12.4x6.6x3.9 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",HyperX,Pulsefire Haste 2,Negro,Plastico ABS,120,12.4x6.6x3.9 cm,24,Gaming,sensor optico,"gamer, gaming, haste, hyperx, mause, mouse, optico, pulsefire, pulsefire haste 2, puntero, raton, sensor optico","HyperX Pulsefire Haste 2, color Negro. sensor optico. peso 120g. dimensiones 12.4x6.6x3.9 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca HyperX de Estados Unidos. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial HyperX de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0022,Mouse HyperX Pulsefire Haste 2 Blanco,mouse,75500,4,"HyperX Pulsefire Haste 2, color Blanco. sensor optico. peso 126g. dimensiones 11.8x6.1x4.4 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",HyperX,Pulsefire Haste 2,Blanco,Plastico ABS,126,11.8x6.1x4.4 cm,24,Gaming,sensor optico,"blanco, gamer, gaming, haste, hyperx, mause, mouse, optico, pulsefire, pulsefire haste 2, puntero, raton, sensor optico","HyperX Pulsefire Haste 2, color Blanco. sensor optico. peso 126g. dimensiones 11.8x6.1x4.4 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca HyperX de Estados Unidos. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial HyperX de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0023,Mouse Genius DX-110 Negro,mouse,8500,11,"Genius DX-110, color Negro. sensor optico. peso 116g. dimensiones 11.0x6.6x4.0 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Genius,DX-110,Negro,Plastico ABS,116,11.0x6.6x4.0 cm,24,Gaming,sensor optico,"dx-110, gamer, gaming, genius, mause, mouse, optico, puntero, raton, sensor optico","Genius DX-110, color Negro. sensor optico. peso 116g. dimensiones 11.0x6.6x4.0 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Genius de Taiwan. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Genius de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0024,Mouse Genius DX-110 Blanco,mouse,8500,0,"Genius DX-110, color Blanco. sensor optico. peso 102g. dimensiones 12.9x6.6x3.7 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Genius,DX-110,Blanco,Plastico ABS,102,12.9x6.6x3.7 cm,24,Gaming,sensor optico,"blanco, dx-110, gamer, gaming, genius, mause, mouse, optico, puntero, raton, sensor optico","Genius DX-110, color Blanco. sensor optico. peso 102g. dimensiones 12.9x6.6x3.7 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Genius de Taiwan. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Genius de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0025,Mouse Microsoft Classic IntelliMouse Negro,mouse,47500,20,"Microsoft Classic IntelliMouse, color Negro. sensor optico. peso 129g. dimensiones 11.1x7.0x4.4 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Microsoft,Classic IntelliMouse,Negro,Plastico ABS,129,11.1x7.0x4.4 cm,24,Gaming,sensor optico,"classic, classic intellimouse, gamer, gaming, intellimouse, mause, microsoft, mouse, optico, puntero, raton, sensor optico","Microsoft Classic IntelliMouse, color Negro. sensor optico. peso 129g. dimensiones 11.1x7.0x4.4 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Microsoft de Estados Unidos. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Microsoft de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0026,Mouse Microsoft Classic IntelliMouse Blanco,mouse,47500,16,"Microsoft Classic IntelliMouse, color Blanco. sensor optico. peso 103g. dimensiones 11.0x6.0x3.9 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Microsoft,Classic IntelliMouse,Blanco,Plastico ABS,103,11.0x6.0x3.9 cm,24,Gaming,sensor optico,"blanco, classic, classic intellimouse, gamer, gaming, intellimouse, mause, microsoft, mouse, optico, puntero, raton, sensor optico","Microsoft Classic IntelliMouse, color Blanco. sensor optico. peso 103g. dimensiones 11.0x6.0x3.9 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Microsoft de Estados Unidos. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Microsoft de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0027,Mouse Glorious Model O Negro,mouse,89500,23,"Glorious Model O, color Negro. sensor optico. peso 88g. dimensiones 10.9x7.1x4.0 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Glorious,Model O,Negro,Plastico ABS,88,10.9x7.1x4.0 cm,24,Gaming,sensor optico,"gamer, gaming, glorious, mause, model, model o, mouse, optico, puntero, raton, sensor optico","Glorious Model O, color Negro. sensor optico. peso 88g. dimensiones 10.9x7.1x4.0 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Glorious de Estados Unidos. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Glorious de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0028,Mouse Glorious Model O Blanco,mouse,89500,23,"Glorious Model O, color Blanco. sensor optico. peso 81g. dimensiones 10.9x6.5x4.4 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Glorious,Model O,Blanco,Plastico ABS,81,10.9x6.5x4.4 cm,24,Gaming,sensor optico,"blanco, gamer, gaming, glorious, mause, model, model o, mouse, optico, puntero, raton, sensor optico","Glorious Model O, color Blanco. sensor optico. peso 81g. dimensiones 10.9x6.5x4.4 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Glorious de Estados Unidos. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Glorious de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0029,Mouse Logitech G305 Lightspeed Negro,mouse,80500,9,"Logitech G305 Lightspeed, color Negro. sensor optico. peso 139g. dimensiones 13.0x6.3x3.8 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Logitech,G305 Lightspeed,Negro,Plastico ABS,139,13.0x6.3x3.8 cm,24,Gaming,sensor optico,"g305, g305 lightspeed, gamer, gaming, lightspeed, logitech, mause, mouse, optico, puntero, raton, sensor optico","Logitech G305 Lightspeed, color Negro. sensor optico. peso 139g. dimensiones 13.0x6.3x3.8 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Logitech de Suiza. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Logitech de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0030,Mouse Logitech G305 Lightspeed Blanco,mouse,80500,25,"Logitech G305 Lightspeed, color Blanco. sensor optico. peso 94g. dimensiones 12.3x6.6x4.2 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Logitech,G305 Lightspeed,Blanco,Plastico ABS,94,12.3x6.6x4.2 cm,24,Gaming,sensor optico,"blanco, g305, g305 lightspeed, gamer, gaming, lightspeed, logitech, mause, mouse, optico, puntero, raton, sensor optico","Logitech G305 Lightspeed, color Blanco. sensor optico. peso 94g. dimensiones 12.3x6.6x4.2 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Logitech de Suiza. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Logitech de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0031,Mouse Logitech G502 X Negro,mouse,140500,13,"Logitech G502 X, color Negro. sensor optico. peso 73g. dimensiones 11.3x6.5x3.9 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Logitech,G502 X,Negro,Plastico ABS,73,11.3x6.5x3.9 cm,24,Gaming,sensor optico,"g502, g502 x, gamer, gaming, logitech, mause, mouse, optico, puntero, raton, sensor optico","Logitech G502 X, color Negro. sensor optico. peso 73g. dimensiones 11.3x6.5x3.9 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Logitech de Suiza. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Logitech de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
MOU0032,Mouse Logitech G502 X Blanco,mouse,140500,1,"Logitech G502 X, color Blanco. sensor optico. peso 114g. dimensiones 11.9x6.1x4.1 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Logitech,G502 X,Blanco,Plastico ABS,114,11.9x6.1x4.1 cm,24,Gaming,sensor optico,"blanco, g502, g502 x, gamer, gaming, logitech, mause, mouse, optico, puntero, raton, sensor optico","Logitech G502 X, color Blanco. sensor optico. peso 114g. dimensiones 11.9x6.1x4.1 cm. Material Plastico ABS. Garantia oficial 24 meses. Ideal para Gaming.",Marca Logitech de Suiza. Fabricado en China.,"Mouse, cable o receptor USB segun version, manual de garantia","Garantia oficial Logitech de 24 meses por defectos de fabricacion, gestionada con el servicio tecnico autorizado en Argentina. No cubre danos por mal uso, golpes ni humedad."
