marca,modelo,categoria,conecta_por,plataformas,requiere,provee,no_compatible,nota
JBL,Tune 770NC,auriculares,bluetooth|jack_35,windows|macos|linux|notebook|pc_escritorio|android|ios|ps5|ps4|nintendo_switch,bluetooth|jack_35,,,"Bluetooth, y ademas traen cable de 3.5 mm para enchufarlos a la consola o al avion."
Logitech,G Pro X,auriculares,jack_35,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|nintendo_switch|android|ios,jack_35,,,"Conector de 3.5 mm: andan con la compu, la consola y el celular que tenga entrada de auriculares."
Logitech,G435,auriculares,receptor_usb|bluetooth,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|android|ios,puerto_usb_a,,,Inalambricos con receptor USB: andan en la compu y tambien en la consola enchufando el receptor.
Logitech,G535,auriculares,receptor_usb,windows|macos|linux|notebook|pc_escritorio|ps5|ps4,puerto_usb_a,,,Inalambricos con receptor USB: andan en la compu y tambien en la consola enchufando el receptor.
Logitech,G733 Lightspeed,auriculares,receptor_usb,windows|macos|linux|notebook|pc_escritorio|ps5|ps4,puerto_usb_a,,,Inalambricos con receptor USB: andan en la compu y tambien en la consola enchufando el receptor.
Razer,BlackShark V2,auriculares,jack_35,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|nintendo_switch|android|ios,jack_35,,,"Conector de 3.5 mm: andan con la compu, la consola y el celular que tenga entrada de auriculares."
Razer,Kraken Kitty V2,auriculares,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio,puerto_usb_a,,ps5|ps4|xbox,"Son USB con sonido virtual: andan en la compu, en la consola no."
Razer,Kraken V3,auriculares,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio,puerto_usb_a,,ps5|ps4|xbox,"Son USB con sonido virtual: andan en la compu, en la consola no."
Redragon,Pandora,auriculares,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio,puerto_usb_a,,ps5|ps4|xbox,"Son USB con sonido virtual: andan en la compu, en la consola no."
Redragon,Zeus X,auriculares,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio,puerto_usb_a,,ps5|ps4|xbox,"Son USB con sonido virtual: andan en la compu, en la consola no."
Sennheiser,HD 560S,auriculares,jack_35,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|nintendo_switch|android|ios,jack_35,,,"Conector de 3.5 mm: andan con la compu, la consola y el celular que tenga entrada de auriculares."
Sennheiser,HD 599,auriculares,jack_35,windows|macos|linux|notebook|pc_escritorio|ps5|ps4|xbox|nintendo_switch|android|ios,jack_35,,,"Conector de 3.5 mm: andan con la compu, la consola y el celular que tenga entrada de auriculares."
Sony,ULT Wear,auriculares,bluetooth|jack_35,windows|macos|linux|notebook|pc_escritorio|android|ios|ps5|ps4|nintendo_switch,bluetooth|jack_35,,,"Bluetooth, y ademas traen cable de 3.5 mm para enchufarlos a la consola o al avion."
Sony,WH-1000XM5,auriculares,bluetooth|jack_35,windows|macos|linux|notebook|pc_escritorio|android|ios|ps5|ps4|nintendo_switch,bluetooth|jack_35,,,"Bluetooth, y ademas traen cable de 3.5 mm para enchufarlos a la consola o al avion."
Sony,WH-CH520,auriculares,bluetooth,windows|macos|linux|notebook|pc_escritorio|android|ios,bluetooth,,,"Solo Bluetooth: se emparejan con la compu, el celular o la tablet."
Sony,WH-CH720N,auriculares,bluetooth|jack_35,windows|macos|linux|notebook|pc_escritorio|android|ios|ps5|ps4|nintendo_switch,bluetooth|jack_35,,,"Bluetooth, y ademas traen cable de 3.5 mm para enchufarlos a la consola o al avion."
Anker,511 Nano 3,cargador,puerto_usb_c,android|ios|notebook,toma_220,,,"Carga celulares, tablets y notebooks que carguen por USB. La velocidad final depende del cable y de lo que admita tu equipo."
Anker,735 GaN 65W,cargador,puerto_usb_c,android|ios|notebook,toma_220,,,"Carga celulares, tablets y notebooks que carguen por USB. La velocidad final depende del cable y de lo que admita tu equipo."
Anker,Nano II 65W,cargador,puerto_usb_c,android|ios|notebook,toma_220,,,"Carga celulares, tablets y notebooks que carguen por USB. La velocidad final depende del cable y de lo que admita tu equipo."
Anker,PowerPort III 20W,cargador,puerto_usb_c,android|ios|notebook,toma_220,,,"Carga celulares, tablets y notebooks que carguen por USB. La velocidad final depende del cable y de lo que admita tu equipo."
Baseus,GaN5 65W,cargador,puerto_usb_c,android|ios|notebook,toma_220,,,"Carga celulares, tablets y notebooks que carguen por USB. La velocidad final depende del cable y de lo que admita tu equipo."
Baseus,GaN5 Pro 100W,cargador,puerto_usb_c,android|ios|notebook,toma_220,,,"Carga celulares, tablets y notebooks que carguen por USB. La velocidad final depende del cable y de lo que admita tu equipo."
Samsung,25W Super Fast,cargador,puerto_usb_c,android|ios|notebook,toma_220,,,"Carga celulares, tablets y notebooks que carguen por USB. La velocidad final depende del cable y de lo que admita tu equipo."
UGREEN,Nexode 65W,cargador,puerto_usb_c,android|ios|notebook,toma_220,,,"Carga celulares, tablets y notebooks que carguen por USB. La velocidad final depende del cable y de lo que admita tu equipo."
Xiaomi,67W Turbo,cargador,puerto_usb_a,android|ios|notebook,toma_220,,,"Carga celulares, tablets y notebooks que carguen por USB. La velocidad final depende del cable y de lo que admita tu equipo."
Xiaomi,Mi 33W,cargador,puerto_usb_a,android|ios|notebook,toma_220,,,"Carga celulares, tablets y notebooks que carguen por USB. La velocidad final depende del cable y de lo que admita tu equipo."
Arctic,Liquid Freezer III 360,cooler,socket_am4|socket_am5|socket_lga1700,pc_escritorio,socket_am4|socket_am5|socket_lga1700,,notebook,"Refrigeracion liquida: trae los soportes para Intel y AMD, y el gabinete tiene que tener lugar para el radiador."
Cooler Master,Hyper 212,cooler,socket_am4|socket_am5|socket_lga1700,pc_escritorio,socket_am4|socket_am5|socket_lga1700,,notebook,"Trae el kit de montaje para Intel y para AMD, asi que entra en los dos."
Cooler Master,Hyper 212 Halo,cooler,socket_am4|socket_am5|socket_lga1700,pc_escritorio,socket_am4|socket_am5|socket_lga1700,,notebook,"Trae el kit de montaje para Intel y para AMD, asi que entra en los dos."
Cooler Master,ML240L V2,cooler,socket_am4|socket_am5|socket_lga1700,pc_escritorio,socket_am4|socket_am5|socket_lga1700,,notebook,"Refrigeracion liquida: trae los soportes para Intel y AMD, y el gabinete tiene que tener lugar para el radiador."
DeepCool,AG400,cooler,socket_am4|socket_am5|socket_lga1700,pc_escritorio,socket_am4|socket_am5|socket_lga1700,,notebook,"Trae el kit de montaje para Intel y para AMD, asi que entra en los dos."
DeepCool,AK500,cooler,socket_am4|socket_am5|socket_lga1700,pc_escritorio,socket_am4|socket_am5|socket_lga1700,,notebook,"Trae el kit de montaje para Intel y para AMD, asi que entra en los dos."
DeepCool,AK620,cooler,socket_am4|socket_am5|socket_lga1700,pc_escritorio,socket_am4|socket_am5|socket_lga1700,,notebook,"Trae el kit de montaje para Intel y para AMD, asi que entra en los dos."
DeepCool,LE500,cooler,socket_am4|socket_am5|socket_lga1700,pc_escritorio,socket_am4|socket_am5|socket_lga1700,,notebook,"Refrigeracion liquida: trae los soportes para Intel y AMD, y el gabinete tiene que tener lugar para el radiador."
Lian Li,Galahad II 240,cooler,socket_am4|socket_am5|socket_lga1700,pc_escritorio,socket_am4|socket_am5|socket_lga1700,,notebook,"Refrigeracion liquida: trae los soportes para Intel y AMD, y el gabinete tiene que tener lugar para el radiador."
Lian Li,Galahad II 360,cooler,socket_am4|socket_am5|socket_lga1700,pc_escritorio,socket_am4|socket_am5|socket_lga1700,,notebook,"Refrigeracion liquida: trae los soportes para Intel y AMD, y el gabinete tiene que tener lugar para el radiador."
Noctua,NH-D15,cooler,socket_am4|socket_am5|socket_lga1700,pc_escritorio,socket_am4|socket_am5|socket_lga1700,,notebook,"Trae el kit de montaje para Intel y para AMD, asi que entra en los dos."
Noctua,NH-U12S Redux,cooler,socket_am4|socket_am5|socket_lga1700,pc_escritorio,socket_am4|socket_am5|socket_lga1700,,notebook,"Trae el kit de montaje para Intel y para AMD, asi que entra en los dos."
Thermalright,Frozen Notte 360,cooler,socket_am4|socket_am5|socket_lga1700,pc_escritorio,socket_am4|socket_am5|socket_lga1700,,notebook,"Refrigeracion liquida: trae los soportes para Intel y AMD, y el gabinete tiene que tener lugar para el radiador."
Thermalright,Peerless Assassin 120,cooler,socket_am4|socket_am5|socket_lga1700,pc_escritorio,socket_am4|socket_am5|socket_lga1700,,notebook,"Trae el kit de montaje para Intel y para AMD, asi que entra en los dos."
Asus,ROG Strix 850W Gold,fuente,fuente_atx,pc_escritorio,toma_220|formato_atx,fuente_atx,notebook,Formato ATX estandar: entra en cualquier gabinete de PC de escritorio.
Asus,TUF Gaming 750W Gold,fuente,fuente_atx,pc_escritorio,toma_220|formato_atx,fuente_atx,notebook,Formato ATX estandar: entra en cualquier gabinete de PC de escritorio.
Cooler Master,MWE 650 Bronze,fuente,fuente_atx,pc_escritorio,toma_220|formato_atx,fuente_atx,notebook,Formato ATX estandar: entra en cualquier gabinete de PC de escritorio.
Cooler Master,MWE 750 Gold V2,fuente,fuente_atx,pc_escritorio,toma_220|formato_atx,fuente_atx,notebook,Formato ATX estandar: entra en cualquier gabinete de PC de escritorio.
Corsair,CV550,fuente,fuente_atx,pc_escritorio,toma_220|formato_atx,fuente_atx,notebook,Formato ATX estandar: entra en cualquier gabinete de PC de escritorio.
Corsair,CX650F RGB,fuente,fuente_atx,pc_escritorio,toma_220|formato_atx,fuente_atx,notebook,Formato ATX estandar: entra en cualquier gabinete de PC de escritorio.
Corsair,RM750e,fuente,fuente_atx,pc_escritorio,toma_220|formato_atx,fuente_atx,notebook,Formato ATX estandar: entra en cualquier gabinete de PC de escritorio.
Corsair,RM850e,fuente,fuente_atx,pc_escritorio,toma_220|formato_atx,fuente_atx,notebook,Formato ATX estandar: entra en cualquier gabinete de PC de escritorio.
EVGA,500 W1,fuente,fuente_atx,pc_escritorio,toma_220|formato_atx,fuente_atx,notebook,Formato ATX estandar: entra en cualquier gabinete de PC de escritorio.
EVGA,600 BR,fuente,fuente_atx,pc_escritorio,toma_220|formato_atx,fuente_atx,notebook,Formato ATX estandar: entra en cualquier gabinete de PC de escritorio.
Gigabyte,P650B,fuente,fuente_atx,pc_escritorio,toma_220|formato_atx,fuente_atx,notebook,Formato ATX estandar: entra en cualquier gabinete de PC de escritorio.
Gigabyte,UD750GM,fuente,fuente_atx,pc_escritorio,toma_220|formato_atx,fuente_atx,notebook,Formato ATX estandar: entra en cualquier gabinete de PC de escritorio.
Seasonic,Focus GX-650,fuente,fuente_atx,pc_escritorio,toma_220|formato_atx,fuente_atx,notebook,Formato ATX estandar: entra en cualquier gabinete de PC de escritorio.
Thermaltake,Smart 600W,fuente,fuente_atx,pc_escritorio,toma_220|formato_atx,fuente_atx,notebook,Formato ATX estandar: entra en cualquier gabinete de PC de escritorio.
Thermaltake,Toughpower GF1 750W,fuente,fuente_atx,pc_escritorio,toma_220|formato_atx,fuente_atx,notebook,Formato ATX estandar: entra en cualquier gabinete de PC de escritorio.
Antec,NX410,gabinete,formato_atx,pc_escritorio,,formato_atx|formato_micro_atx|fuente_atx,notebook,"Le entran placas ATX y Micro-ATX, y fuente de formato ATX."
Asus,Prime AP201,gabinete,formato_atx,pc_escritorio,,formato_micro_atx|fuente_atx,notebook,"Es compacto: le entran placas Micro-ATX y Mini-ITX, una ATX grande no."
Cooler Master,MasterBox Q300L,gabinete,formato_atx,pc_escritorio,,formato_atx|formato_micro_atx|fuente_atx,notebook,"Le entran placas ATX y Micro-ATX, y fuente de formato ATX."
Cooler Master,TD500 Mesh V2,gabinete,formato_atx,pc_escritorio,,formato_atx|formato_micro_atx|fuente_atx,notebook,"Le entran placas ATX y Micro-ATX, y fuente de formato ATX."
Corsair,4000D Airflow,gabinete,formato_atx,pc_escritorio,,formato_atx|formato_micro_atx|fuente_atx,notebook,"Le entran placas ATX y Micro-ATX, y fuente de formato ATX."
Corsair,5000D Airflow,gabinete,formato_atx,pc_escritorio,,formato_atx|formato_micro_atx|fuente_atx,notebook,"Le entran placas ATX y Micro-ATX, y fuente de formato ATX."
Gamemax,Black Hole,gabinete,formato_atx,pc_escritorio,,formato_atx|formato_micro_atx|fuente_atx,notebook,"Le entran placas ATX y Micro-ATX, y fuente de formato ATX."
Gamemax,Infinity,gabinete,formato_atx,pc_escritorio,,formato_atx|formato_micro_atx|fuente_atx,notebook,"Le entran placas ATX y Micro-ATX, y fuente de formato ATX."
Lian Li,Lancool 216,gabinete,formato_atx,pc_escritorio,,formato_atx|formato_micro_atx|fuente_atx,notebook,"Le entran placas ATX y Micro-ATX, y fuente de formato ATX."
Montech,Air 903,gabinete,formato_atx,pc_escritorio,,formato_atx|formato_micro_atx|fuente_atx,notebook,"Le entran placas ATX y Micro-ATX, y fuente de formato ATX."
Montech,King 95,gabinete,formato_atx,pc_escritorio,,formato_atx|formato_micro_atx|fuente_atx,notebook,"Le entran placas ATX y Micro-ATX, y fuente de formato ATX."
NZXT,H5 Flow,gabinete,formato_atx,pc_escritorio,,formato_atx|formato_micro_atx|fuente_atx,notebook,"Le entran placas ATX y Micro-ATX, y fuente de formato ATX."
NZXT,H7 Flow,gabinete,formato_atx,pc_escritorio,,formato_atx|formato_micro_atx|fuente_atx,notebook,"Le entran placas ATX y Micro-ATX, y fuente de formato ATX."
Thermaltake,S100 TG,gabinete,formato_atx,pc_escritorio,,formato_atx|formato_micro_atx|fuente_atx,notebook,"Le entran placas ATX y Micro-ATX, y fuente de formato ATX."
Thermaltake,Versa H18,gabinete,formato_atx,pc_escritorio,,formato_atx|formato_micro_atx|fuente_atx,notebook,"Le entran placas ATX y Micro-ATX, y fuente de formato ATX."
Brother,DCP-T520W,impresora,puerto_usb_a|wifi,windows|macos|linux|notebook|pc_escritorio|android|ios,puerto_usb_a|wifi,,,Se conecta por WiFi o por cable USB. Con WiFi imprimis tambien desde el celular con la app de la marca.
Brother,HL-1212W,impresora,puerto_usb_a|wifi,windows|macos|linux|notebook|pc_escritorio|android|ios,puerto_usb_a|wifi,,,Se conecta por WiFi o por cable USB. Con WiFi imprimis tambien desde el celular con la app de la marca.
Canon,Pixma G2160,impresora,puerto_usb_a,windows|macos|linux|notebook|pc_escritorio,puerto_usb_a,,android|ios,"Este modelo se conecta solo por cable USB: no tiene WiFi, asi que desde el celular no se imprime."
Canon,Pixma G3110,impresora,puerto_usb_a|wifi,windows|macos|linux|notebook|pc_escritorio|android|ios,puerto_usb_a|wifi,,,Se conecta por WiFi o por cable USB. Con WiFi imprimis tambien desde el celular con la app de la marca.
Epson,EcoTank L3250,impresora,puerto_usb_a|wifi,windows|macos|linux|notebook|pc_escritorio|android|ios,puerto_usb_a|wifi,,,Se conecta por WiFi o por cable USB. Con WiFi imprimis tambien desde el celular con la app de la marca.
