id,nombre,categoria,precio_ars,stock,descripcion,marca,modelo,color,material,peso_gramos,dimensiones,garantia_meses,uso_recomendado,caracteristicas_extra
AUD001,Auriculares HyperX Cloud II,auriculares,125000,6,Auriculares gamer con sonido virtual 7.1 y microfono extraible,HyperX,Cloud II,Rojo y negro,Aluminio y cuero sintetico,320,17x18x9 cm,24,Gaming,Conexion USB y jack 3.5mm sonido virtual 7.1 drivers 53mm microfono extraible y compatible PC PS4 PS5 Xbox Switch
AUD002,Auriculares Sony WH-1000XM5,auriculares,685000,3,Auriculares Bluetooth premium con cancelacion de ruido,Sony,WH-1000XM5,Negro,Plastico y cuero sintetico,250,23x18x8 cm,12,Profesional viaje y oficina,Bluetooth 5.2 cancelacion activa de ruido 30 horas de bateria carga rapida 3 minutos para 3 horas multipunto compatible Sony Headphones Connect
AUD003,Auriculares Logitech G Pro X,auriculares,285000,5,Auriculares gamer profesionales con tecnologia Blue VO!CE,Logitech,G Pro X,Negro,Aluminio y memory foam,320,20x18x9 cm,24,Gaming profesional esports,Conexion USB y jack 3.5mm drivers PRO-G de 50mm DTS Headphone X 2.0 microfono Blue VO!CE almohadillas memory foam y cuero
AUD004,Auriculares JBL Tune 510BT,auriculares,75000,12,Auriculares inalambricos on ear con sonido Pure Bass,JBL,Tune 510BT,Negro,Plastico,160,18x16x6 cm,12,Hogar y viaje,Bluetooth 5.0 40 horas de bateria carga USB-C plegables manos libres compatible asistentes de voz
MIC001,Microfono FIFINE K669B,microfono,68000,9,Microfono USB cardioide para streaming y podcasts,FIFINE,K669B,Negro,Metal,710,17x6x6 cm,12,Streaming podcast,Conexion USB patron cardioide control de ganancia integrado tripode incluido plug and play compatible PC Mac PS4 PS5
MIC002,Microfono Blue Yeti USB,microfono,225000,4,Microfono USB profesional con 4 patrones polares,Blue,Yeti,Plateado,Metal y plastico,1550,29x12x12 cm,24,Streaming profesional broadcasting,Conexion USB 4 patrones polares cardioide bidireccional omnidireccional estereo control de mute monitoreo directo
WEB001,Webcam Genius FaceCam 1000X,webcam,35000,15,Webcam HD 720p con microfono integrado,Genius,FaceCam 1000X,Negro,Plastico,80,8x4x4 cm,12,Videoconferencias hogar,Conexion USB HD 720p microfono integrado clip universal compatible Skype Zoom Meet plug and play
WEB002,Webcam Logitech C920 HD Pro,webcam,135000,7,Webcam Full HD 1080p con autoenfoque y microfono dual,Logitech,C920 HD Pro,Negro,Plastico,162,9.4x2.4x2.9 cm,24,Streaming videoconferencias profesional,Conexion USB Full HD 1080p 30fps autoenfoque microfono estereo dual compatible Windows Mac Chrome OS Android
SIL001,Silla gamer Redragon Coeus,silla,395000,3,Silla gamer ergonomica reclinable con apoyabrazos 3D,Redragon,Coeus,Negro y rojo,Cuero sintetico PU y acero,18500,70x70x125 cm,12,Gaming oficina prolongada,Reclinacion 135 grados apoyabrazos 3D ajustables cojin lumbar y cervical incluidos pistou clase 4 soporta hasta 150kg
SIL002,Silla gamer Cougar Armor S,silla,535000,2,Silla gamer premium con cuero PVH y reclinacion total,Cougar,Armor S,Negro y naranja,Cuero PVH y acero,21000,75x73x130 cm,24,Gaming profesional sesiones largas,Reclinacion 180 grados apoyabrazos 4D ajustables cojines de memoria pistou clase 4 soporta hasta 160kg estructura metalica reforzada
SIL003,Silla oficina ergonomica ProSeat,silla,285000,4,Silla de oficina ergonomica con malla y soporte lumbar,ProSeat,Ergo Mesh Pro,Negro,Malla y nylon,12500,65x65x115 cm,12,Oficina escritorio,Apoyabrazos ajustables soporte lumbar incorporado base de nylon reforzada reclinacion 110 grados altura ajustable
PAD001,Mouse pad SteelSeries QcK Mini,pad,18000,20,Mouse pad pequeño superficie tela para precision,SteelSeries,QcK Mini,Negro,Tela y goma,40,25x21x0.2 cm,3,Gaming oficina,Superficie de tela optimizada base de goma antideslizante bordos cosidos resistente al desgaste
PAD002,Mouse pad Razer Goliathus Extended,pad,45000,15,Mouse pad XL para teclado y mouse con superficie tejida,Razer,Goliathus Extended,Negro,Tela y goma,500,92x29.4x0.3 cm,3,Gaming setup completo,Superficie tejida micro textura base de goma antideslizante bordos cosidos resistente a derrames cubre teclado y mouse
ALM001,SSD Samsung 980 PRO 1TB,almacenamiento,225000,5,Disco solido NVMe PCIe 4.0 de alta velocidad,Samsung,980 PRO 1TB,Negro,Metal y plastico,9,8x2.2x0.8 cm,60,PC gaming workstation,Interfaz NVMe PCIe 4.0 lectura 7000 MB/s escritura 5000 MB/s factor M.2 2280 controlador Elpis software Samsung Magician
ALM002,SSD Kingston A2000 500GB,almacenamiento,85000,12,Disco solido NVMe PCIe 3.0 para upgrade economico,Kingston,A2000 500GB,Negro,Metal,8,8x2.2x0.4 cm,60,PC y notebook upgrade,Interfaz NVMe PCIe 3.0 lectura 2200 MB/s escritura 2000 MB/s factor M.2 2280 cifrado XTS-AES 256-bit
ALM003,Disco externo Toshiba Canvio 2TB,almacenamiento,95000,8,Disco rigido externo USB 3.0 portatil,Toshiba,Canvio Basics 2TB,Negro,Plastico,150,11x7.5x1.4 cm,24,Backup almacenamiento portatil,Conexion USB 3.0 2TB de capacidad compatible Windows y Mac plug and play sin software adicional formato NTFS
MEM001,Memoria RAM Corsair Vengeance 32GB DDR4,memoria,225000,6,Kit de memoria RAM 2x16GB DDR4 3600MHz con disipador,Corsair,Vengeance LPX 32GB,Negro,Aluminio,180,13.3x3.4x0.8 cm,120,Gaming workstation,Kit 2x16GB DDR4 3600MHz CL18 disipador de aluminio LPX bajo perfil compatible Intel y AMD XMP 2.0
MEM002,Memoria RAM G.Skill Trident Z 32GB DDR5,memoria,385000,4,Kit memoria DDR5 2x16GB 6000MHz con RGB,G.Skill,Trident Z5 RGB 32GB,Negro y plata,Aluminio,210,13.3x4.2x0.8 cm,120,Gaming high end overclocking,Kit 2x16GB DDR5 6000MHz CL36 RGB direccional Intel XMP 3.0 disipador aluminio mecanizado iluminacion personalizable
MEM003,Memoria RAM Kingston Fury 16GB DDR4,memoria,95000,10,Memoria RAM 16GB DDR4 3200MHz para gaming,Kingston,Fury Beast 16GB,Negro,Aluminio,90,13.3x3.4x0.7 cm,120,Gaming y productividad,Memoria 16GB DDR4 3200MHz CL16 disipador asimetrico Plug and play XMP 2.0 compatible Intel y AMD
COL001,Cooler CPU DeepCool AK620,cooler,135000,5,Cooler de aire para CPU doble torre con 6 heatpipes,DeepCool,AK620,Negro,Aluminio y cobre,1456,13x12.7x16 cm,60,Gaming workstation overclocking,Doble torre 6 heatpipes ventiladores 120mm soporta hasta 260W TDP compatible Intel LGA1700 LGA1200 y AMD AM5 AM4
COL002,Watercooling Cooler Master ML240L,cooler,245000,4,Refrigeracion liquida AIO 240mm con RGB,Cooler Master,MasterLiquid ML240L V2 RGB,Negro,Aluminio y plastico,1300,28x12x2.7 cm,24,Gaming overclock,Radiador 240mm 2 ventiladores SickleFlow 120mm RGB bomba dual chamber compatible Intel LGA1700 y AMD AM5
HUB001,Hub USB 3.0 4 puertos Genius,hub,14000,30,Hub USB 3.0 compacto con 4 puertos,Genius,GH-04,Negro,Plastico,50,9x3x1.5 cm,12,Oficina hogar,4 puertos USB 3.0 5Gbps cable integrado 30cm plug and play compatible Windows Mac Linux sin alimentacion externa
HUB002,Hub USB-C 7 en 1 Anker,hub,105000,8,Hub USB-C multifuncion con HDMI 4K y lector SD,Anker,A8346,Gris espacial,Aluminio,118,11.8x4.2x1.4 cm,24,Notebook productividad multimedia,7 en 1 HDMI 4K 30Hz 2 puertos USB 3.0 lector SD y microSD USB-C PD 100W compatible MacBook iPad Pro
CAB001,Cable HDMI 2m 4K,cable,9500,40,Cable HDMI 2.0 de 2 metros para 4K 60Hz,Genericos,HDMI 2.0 2m,Negro,PVC y cobre,150,200x1x0.5 cm,12,Multimedia general,HDMI 2.0 4K 60Hz HDR Ethernet integrado conectores chapados en oro compatible TV PC consolas
CAB002,Cable USB-C a USB-C 1m Anker,cable,12000,25,Cable USB-C a USB-C con carga rapida 100W,Anker,PowerLine III 1m,Negro,Nylon trenzado,40,100x0.6 cm,18,Carga rapida transferencia datos,USB-C a USB-C 100W PD carga rapida USB 2.0 480Mbps datos largo 1 metro trenzado en nylon resistente
GAM001,Joystick Logitech F310,gamepad,55000,10,Gamepad cableado con USB para PC,Logitech,F310,Negro,Plastico,222,15x9x6 cm,24,Gaming PC casual,Conexion USB layout estilo PlayStation 4 botones de accion D-pad de 8 direcciones 2 joysticks analogicos compatible Windows Steam
GAM002,Gamepad Xbox Wireless,gamepad,125000,6,Control inalambrico oficial de Xbox compatible con PC,Microsoft,Xbox Wireless Controller,Negro Carbon,Plastico,287,15x10x6 cm,12,Gaming PC y Xbox,Inalambrico Bluetooth y adaptador opcional bateria AA 40 horas vibracion impulse hibrido D-pad compatible Xbox Series X S One PC iOS Android
CAR001,Cargador Anker 65W GaN,cargador,75000,10,Cargador USB-C de 65W con tecnologia GaN compacto,Anker,Nano II 65W,Negro,Plastico,112,5x3x3 cm,18,Notebook tablet smartphone,USB-C PD 3.0 65W tecnologia GaN II 50 porciento mas chico carga MacBook Pro 13 al 100 porciento en 70 minutos
SOP001,Soporte monitor articulado VESA,accesorio,85000,8,Soporte articulado para monitor con montaje VESA,NorthBayou,F80,Negro,Acero y aluminio,2800,40x40x60 cm,24,Oficina y gaming setup,Compatible VESA 75x75 y 100x100 soporta monitores hasta 32 pulgadas y 9kg articulado con 4 ejes ajuste de altura rotacion 360 grados
ILU001,Lampara LED escritorio Xiaomi,iluminacion,45000,15,Lampara LED de escritorio con brillo ajustable,Xiaomi,Mi LED Desk Lamp 1S,Blanco,Aluminio y plastico,750,45x12x12 cm,12,Oficina estudio,LED 6W temperatura color 2600K-5000K 4 modos brillo ajustable plegable control tactil control via Mi Home app
LIM001,Kit limpieza pantallas,accesorio,8500,30,Kit con liquido limpiador y paño microfibra,GoldenTech,Clean Kit Pro,Azul,Plastico y tela,250,15x10x5 cm,3,Mantenimiento general,Liquido limpiador 250ml sin amoniaco paño microfibra 30x30 cm seguro para pantallas LCD LED OLED tablets y notebooks
ORG001,Organizador cables escritorio,accesorio,12000,20,Bandeja organizadora de cables debajo de escritorio,IKEA,Signum,Plata,Metal,800,70x16x10 cm,12,Oficina hogar,Bandeja metalica para organizar cables y adaptadores se monta debajo del escritorio capacidad 5kg incluye tornillos y plantilla
ADA001,Adaptador WiFi USB TP-Link,redes,18000,18,Adaptador WiFi USB de doble banda AC600,TP-Link,Archer T2U Nano,Negro,Plastico,8,2x1.5x0.7 cm,24,PC notebook sin WiFi,USB 2.0 doble banda 2.4GHz y 5GHz hasta 600Mbps tamaño ultra compacto compatible Windows Mac Linux
BAT001,Bateria externa Xiaomi 20000mAh,bateria,55000,12,Power bank de 20000mAh con carga rapida 22.5W,Xiaomi,Redmi Power Bank 20000,Negro,Plastico,440,15x7x3 cm,18,Smartphone tablet viaje,Capacidad 20000mAh carga rapida 22.5W salida USB-A y USB-C entrada USB-C carga simultanea 2 dispositivos pantalla LED indicador
SOP002,Soporte ergonomico notebook,accesorio,25000,15,Soporte plegable para notebook con ajuste de altura,Genericos,Stand Pro,Plateado,Aluminio,650,28x24x3 cm,12,Notebook ergonomia,Soporte plegable de aluminio ajustable en 6 niveles compatible notebooks 10 a 17 pulgadas ventilacion mejorada portatil
MOU0001,Mouse Microsoft Ultra 509,mouse,44500,7,"mouse Microsoft con cable 16000 DPI, color azul. Ideal para estudio.",Microsoft,Ultra 509,Azul,Plastico ABS,762,42x32x3 cm,6,Gaming,"con cable, 16000 DPI"
TEC0001,Teclado Razer Lite 8379,teclado,387500,35,"teclado Razer full size inalambrico, color negro. Ideal para hogar.",Razer,Lite 8379,Negro,Aluminio,4877,22x5x26 cm,12,Streaming,"full size, inalambrico"
MON0001,Monitor Philips X 4652,monitor,257000,6,"monitor Philips 2K QHD 75Hz, color gris. Ideal para profesional.",Philips,X 4652,Gris,Plastico y metal,6992,27x21x27 cm,6,Streaming,"2K QHD, 75Hz"
AUR0001,Auriculares Sony Series 2145,auriculares,178500,40,"auriculares Sony con cable microfono, color grafito. Ideal para profesional.",Sony,Series 2145,Grafito,Plastico y cuero sintetico,4779,17x9x3 cm,12,Profesional,"con cable, microfono"
SIL0001,Silla Redragon Lite 1754,silla,552500,11,"silla Redragon reclinable apoyabrazos 4D, color grafito. Ideal para oficina.",Redragon,Lite 1754,Grafito,Ecocuero y metal,5540,22x9x21 cm,12,Estudio,"reclinable, apoyabrazos 4D"
WEB0001,Webcam Razer Max 7673,webcam,92500,21,"webcam Razer autofoco USB, color grafito. Ideal para gaming.",Razer,Max 7673,Grafito,Plastico,1926,57x7x27 cm,24,Hogar,"autofoco, USB"
MIC0001,Microfono Razer Ultra 3556,microfono,242500,30,"microfono Razer USB para streaming, color rojo. Ideal para oficina.",Razer,Ultra 3556,Rojo,Metal,2070,52x40x19 cm,24,Streaming,"USB, para streaming"
PAR0001,Parlante Genius One 6643,parlante,287000,0,"parlante Genius 2.0 subwoofer, color rojo. Ideal para gaming.",Genius,One 6643,Rojo,Madera y plastico,7104,12x14x22 cm,12,Streaming,"2.0, subwoofer"
SSD0001,Ssd Crucial One 1140,ssd,270500,34,"ssd Crucial lectura 3500MB/s 1TB, color grafito. Ideal para estudio.",Crucial,One 1140,Grafito,Metal,7101,5x12x23 cm,24,Streaming,"lectura 3500MB/s, 1TB"
RAM0001,Ram ADATA Ultra 4908,ram,21000,17,"ram ADATA 8GB 16GB, color grafito. Ideal para oficina.",ADATA,Ultra 4908,Grafito,PCB,4208,11x24x28 cm,12,Oficina,"8GB, 16GB"
GPU0001,Placa de video MSI Max 8937,placa de video,2399500,2,"placa de video MSI 8GB GDDR6 RTX 4080, color negro. Ideal para profesional.",MSI,Max 8937,Negro,Metal y plastico,7248,58x24x9 cm,6,Oficina,"8GB GDDR6, RTX 4080"
FUE0001,Fuente Corsair Ultra 8062,fuente,112500,31,"fuente Corsair 80 Plus Gold 750W, color blanco. Ideal para oficina.",Corsair,Ultra 8062,Blanco,Metal,2221,38x32x8 cm,12,Streaming,"80 Plus Gold, 750W"
GAB0001,Gabinete Thermaltake S 6218,gabinete,123500,16,"gabinete Thermaltake 3 coolers RGB, color plata. Ideal para profesional.",Thermaltake,S 6218,Plata,Acero y vidrio,222,42x40x9 cm,12,Gaming,"3 coolers, RGB"
CPU0001,Procesador Intel Go 1064,procesador,843000,5,"procesador Intel Core i7 Core i5, color rosa. Ideal para profesional.",Intel,Go 1064,Rosa,Silicio,5530,36x18x19 cm,12,Streaming,"Core i7, Core i5"
MBO0001,Motherboard ASRock Lite 7849,motherboard,221500,28,"motherboard ASRock B760 B650, color grafito. Ideal para hogar.",ASRock,Lite 7849,Grafito,PCB,3875,60x8x23 cm,6,Gaming,"B760, B650"
COO0001,Cooler Noctua Go 5659,cooler,75000,35,"cooler Noctua liquida 240mm silencioso, color blanco. Ideal para hogar.",Noctua,Go 5659,Blanco,Aluminio y cobre,1553,22x34x9 cm,6,Hogar,"liquida 240mm, silencioso"
NOT0001,Notebook Acer Ultra 928,notebook,1691500,11,"notebook Acer Ryzen 7 14 pulgadas, color negro. Ideal para hogar.",Acer,Ultra 928,Negro,Aluminio,1801,60x30x30 cm,6,Oficina,"Ryzen 7, 14 pulgadas"
TAB0001,Tablet Lenovo Pro 6496,tablet,643500,36,"tablet Lenovo WiFi 128GB, color azul. Ideal para hogar.",Lenovo,Pro 6496,Azul,Aluminio,1318,17x23x8 cm,6,Estudio,"WiFi, 128GB"
PEN0001,Pendrive Kingston Go 5238,pendrive,41000,34,"pendrive Kingston 32GB USB 3.2, color negro. Ideal para estudio.",Kingston,Go 5238,Negro,Metal,706,59x16x4 cm,6,Streaming,"32GB, USB 3.2"
ROU0001,Router TP-Link S 2064,router,192500,6,"router TP-Link 4 antenas WiFi 6, color rosa. Ideal para estudio.",TP-Link,S 2064,Rosa,Plastico,4680,38x25x10 cm,12,Streaming,"4 antenas, WiFi 6"
IMP0001,Impresora Brother X 4010,impresora,464500,30,"impresora Brother laser wifi, color azul. Ideal para gaming.",Brother,X 4010,Azul,Plastico,126,34x11x4 cm,12,Estudio,"laser, wifi"
CAR0001,Cargador Baseus Max 5818,cargador,26500,11,"cargador Baseus carga rapida 65W, color blanco. Ideal para estudio.",Baseus,Max 5818,Blanco,Plastico,5813,24x38x2 cm,24,Streaming,"carga rapida, 65W"
MOU0002,Mouse Logitech Max 4433,mouse,79500,19,"mouse Logitech RGB inalambrico, color blanco. Ideal para streaming.",Logitech,Max 4433,Blanco,Plastico ABS,2858,18x21x18 cm,36,Profesional,"RGB, inalambrico"
TEC0002,Teclado Logitech Ultra 7039,teclado,187000,9,"teclado Logitech mecanico full size, color azul. Ideal para profesional.",Logitech,Ultra 7039,Azul,Aluminio,1373,52x33x19 cm,36,Estudio,"mecanico, full size"
MON0002,Monitor Samsung Ultra 1332,monitor,537000,38,"monitor Samsung curvo IPS, color gris. Ideal para hogar.",Samsung,Ultra 1332,Gris,Plastico y metal,1094,7x24x13 cm,6,Profesional,"curvo, IPS"
AUR0002,Auriculares Razer Air 4188,auriculares,318500,27,"auriculares Razer bluetooth surround 7.1, color blanco. Ideal para streaming.",Razer,Air 4188,Blanco,Plastico y cuero sintetico,1316,20x15x27 cm,12,Hogar,"bluetooth, surround 7.1"
SIL0002,Silla Redragon Max 5542,silla,430000,18,"silla Redragon soporte lumbar ecocuero, color grafito. Ideal para streaming.",Redragon,Max 5542,Grafito,Ecocuero y metal,935,29x7x29 cm,36,Oficina,"soporte lumbar, ecocuero"
WEB0002,Webcam Razer Gamer 5828,webcam,41000,13,"webcam Razer 2K para streaming, color azul. Ideal para profesional.",Razer,Gamer 5828,Azul,Plastico,7130,9x22x13 cm,36,Streaming,"2K, para streaming"
MIC0002,Microfono Razer Pro 1989,microfono,174000,3,"microfono Razer USB brazo, color azul. Ideal para hogar.",Razer,Pro 1989,Azul,Metal,2881,51x25x15 cm,6,Hogar,"USB, brazo"
PAR0002,Parlante JBL Plus 827,parlante,302500,13,"parlante JBL bluetooth estereo, color grafito. Ideal para gaming.",JBL,Plus 827,Grafito,Madera y plastico,7823,47x26x21 cm,24,Streaming,"bluetooth, estereo"
SSD0002,Ssd Samsung Go 5020,ssd,236000,19,"ssd Samsung lectura 3500MB/s M.2, color azul. Ideal para oficina.",Samsung,Go 5020,Azul,Metal,3494,47x29x23 cm,12,Estudio,"lectura 3500MB/s, M.2"
RAM0002,Ram ADATA S 9077,ram,75000,28,"ram ADATA 32GB 8GB, color negro. Ideal para estudio.",ADATA,S 9077,Negro,PCB,5413,25x34x16 cm,36,Streaming,"32GB, 8GB"
GPU0002,Placa de video Gigabyte Series 7852,placa de video,1540500,33,"placa de video Gigabyte 12GB RTX 4060, color gris. Ideal para estudio.",Gigabyte,Series 7852,Gris,Metal y plastico,2795,10x20x23 cm,24,Oficina,"12GB, RTX 4060"
FUE0002,Fuente EVGA Max 500,fuente,83000,30,"fuente EVGA 750W 80 Plus Bronze, color negro. Ideal para streaming.",EVGA,Max 500,Negro,Metal,4765,17x29x17 cm,36,Oficina,"750W, 80 Plus Bronze"
GAB0002,Gabinete NZXT Air 190,gabinete,152000,34,"gabinete NZXT RGB Micro ATX, color blanco. Ideal para estudio.",NZXT,Air 190,Blanco,Acero y vidrio,2091,59x12x16 cm,12,Hogar,"RGB, Micro ATX"
CPU0002,Procesador AMD Gamer 8370,procesador,1145500,29,"procesador AMD LGA1700 Core i7, color grafito. Ideal para oficina.",AMD,Gamer 8370,Grafito,Silicio,6930,45x22x26 cm,36,Streaming,"LGA1700, Core i7"
MBO0002,Motherboard Gigabyte Plus 7306,motherboard,366000,18,"motherboard Gigabyte ATX X670, color blanco. Ideal para estudio.",Gigabyte,Plus 7306,Blanco,PCB,710,13x14x9 cm,36,Streaming,"ATX, X670"
COO0002,Cooler Cooler Master Go 3605,cooler,111500,35,"cooler Cooler Master RGB silencioso, color blanco. Ideal para gaming.",Cooler Master,Go 3605,Blanco,Aluminio y cobre,1744,58x31x14 cm,6,Estudio,"RGB, silencioso"
NOT0002,Notebook Asus Gamer 196,notebook,2335500,27,"notebook Asus 1TB SSD 14 pulgadas, color rojo. Ideal para streaming.",Asus,Gamer 196,Rojo,Aluminio,4523,56x19x17 cm,12,Profesional,"1TB SSD, 14 pulgadas"
TAB0002,Tablet Lenovo Gamer 575,tablet,373000,30,"tablet Lenovo 128GB WiFi, color grafito. Ideal para estudio.",Lenovo,Gamer 575,Grafito,Aluminio,4425,6x30x20 cm,6,Gaming,"128GB, WiFi"
PEN0002,Pendrive SanDisk Max 7664,pendrive,33000,21,"pendrive SanDisk 32GB 128GB, color gris. Ideal para profesional.",SanDisk,Max 7664,Gris,Metal,2814,53x29x10 cm,36,Profesional,"32GB, 128GB"
ROU0002,Router TP-Link Gamer 417,router,48000,3,"router TP-Link AX1800 doble banda, color negro. Ideal para oficina.",TP-Link,Gamer 417,Negro,Plastico,1683,58x6x21 cm,12,Oficina,"AX1800, doble banda"
IMP0002,Impresora Epson Gamer 1974,impresora,537000,11,"impresora Epson laser sistema continuo, color rosa. Ideal para streaming.",Epson,Gamer 1974,Rosa,Plastico,5934,12x15x11 cm,6,Estudio,"laser, sistema continuo"
CAR0002,Cargador Anker Plus 9533,cargador,13000,38,"cargador Anker GaN carga rapida, color grafito. Ideal para streaming.",Anker,Plus 9533,Grafito,Plastico,2039,11x24x29 cm,6,Estudio,"GaN, carga rapida"
MOU0003,Mouse Logitech X 8828,mouse,140500,0,"mouse Logitech liviano RGB, color grafito. Ideal para hogar.",Logitech,X 8828,Grafito,Plastico ABS,6786,36x11x15 cm,24,Streaming,"liviano, RGB"
TEC0003,Teclado Redragon Go 2606,teclado,335000,35,"teclado Redragon RGB switches red, color grafito. Ideal para hogar.",Redragon,Go 2606,Grafito,Aluminio,3618,57x22x12 cm,12,Gaming,"RGB, switches red"
MON0003,Monitor AOC Gamer 4095,monitor,850500,25,"monitor AOC HDMI FreeSync, color plata. Ideal para hogar.",AOC,Gamer 4095,Plata,Plastico y metal,7021,25x16x17 cm,12,Profesional,"HDMI, FreeSync"
AUR0003,Auriculares HyperX X 4681,auriculares,125000,6,"auriculares HyperX inalambrico microfono, color azul. Ideal para hogar.",HyperX,X 4681,Azul,Plastico y cuero sintetico,4052,40x20x24 cm,36,Streaming,"inalambrico, microfono"
SIL0003,Silla Gamemax Gamer 382,silla,594000,16,"silla Gamemax reclinable ergonomica, color blanco. Ideal para estudio.",Gamemax,Gamer 382,Blanco,Ecocuero y metal,3073,35x40x18 cm,24,Hogar,"reclinable, ergonomica"
WEB0003,Webcam Microsoft X 7534,webcam,95500,8,"webcam Microsoft autofoco para streaming, color azul. Ideal para profesional.",Microsoft,X 7534,Azul,Plastico,1029,52x39x26 cm,12,Oficina,"autofoco, para streaming"
MIC0003,Microfono Blue Go 8033,microfono,310000,39,"microfono Blue filtro pop brazo, color azul. Ideal para gaming.",Blue,Go 8033,Azul,Metal,6870,17x23x9 cm,24,Oficina,"filtro pop, brazo"
