id,nombre,categoria,precio_ars,stock,descripcion,marca,modelo,color,material,peso_gramos,dimensiones,garantia_meses,uso_recomendado,caracteristicas_extra
AUD001,Auriculares HyperX Cloud II,auriculares,125000,6,Auriculares gamer con sonido virtual 7.1 y microfono extraible,HyperX,Cloud II,Rojo y negro,Aluminio y cuero sintetico,320,17x18x9 cm,24,Gaming,Conexion USB y jack 3.5mm sonido virtual 7.1 drivers 53mm microfono extraible y compatible PC PS4 PS5 Xbox Switch
AUD002,Auriculares Sony WH-1000XM5,auriculares,685000,3,Auriculares Bluetooth premium con cancelacion de ruido,Sony,WH-1000XM5,Negro,Plastico y cuero sintetico,250,23x18x8 cm,12,Profesional viaje y oficina,Bluetooth 5.2 cancelacion activa de ruido 30 horas de bateria carga rapida 3 minutos para 3 horas multipunto compatible Sony Headphones Connect
AUD003,Auriculares Logitech G Pro X,auriculares,285000,5,Auriculares gamer profesionales con tecnologia Blue VO!CE,Logitech,G Pro X,Negro,Aluminio y memory foam,320,20x18x9 cm,24,Gaming profesional esports,Conexion USB y jack 3.5mm drivers PRO-G de 50mm DTS Headphone X 2.0 microfono Blue VO!CE almohadillas memory foam y cuero
AUD004,Auriculares JBL Tune 510BT,auriculares,75000,12,Auriculares inalambricos on ear con sonido Pure Bass,JBL,Tune 510BT,Negro,Plastico,160,18x16x6 cm,12,Hogar y viaje,Bluetooth 5.0 40 horas de bateria carga USB-C plegables manos libres compatible asistentes de voz
MIC001,Microfono FIFINE K669B,microfono,68000,9,Microfono USB cardioide para streaming y podcasts,FIFINE,K669B,Negro,Metal,710,17x6x6 cm,12,Streaming podcast,Conexion USB patron cardioide control de ganancia integrado tripode incluido plug and play compatible PC Mac PS4 PS5
MIC002,Microfono Blue Yeti USB,microfono,225000,4,Microfono USB profesional con 4 patrones polares,Blue,Yeti,Plateado,Metal y plastico,1550,29x12x12 cm,24,Streaming profesional broadcasting,Conexion USB 4 patrones polares cardioide bidireccional omnidireccional estereo control de mute monitoreo directo
WEB001,Webcam Genius FaceCam 1000X,webcam,35000,15,Webcam HD 720p con microfono integrado,Genius,FaceCam 1000X,Negro,Plastico,80,8x4x4 cm,12,Videoconferencias hogar,Conexion USB HD 720p microfono integrado clip universal compatible Skype Zoom Meet plug and play
WEB002,Webcam Logitech C920 HD Pro,webcam,135000,7,Webcam Full HD 1080p con autoenfoque y microfono dual,Logitech,C920 HD Pro,Negro,Plastico,162,9.4x2.4x2.9 cm,24,Streaming videoconferencias profesional,Conexion USB Full HD 1080p 30fps autoenfoque microfono estereo dual compatible Windows Mac Chrome OS Android
SIL001,Silla gamer Redragon Coeus,silla,395000,3,Silla gamer ergonomica reclinable con apoyabrazos 3D,Redragon,Coeus,Negro y rojo,Cuero sintetico PU y acero,18500,70x70x125 cm,12,Gaming oficina prolongada,Reclinacion 135 grados apoyabrazos 3D ajustables cojin lumbar y cervical incluidos pistou clase 4 soporta hasta 150kg
SIL002,Silla gamer Cougar Armor S,silla,535000,2,Silla gamer premium con cuero PVH y reclinacion total,Cougar,Armor S,Negro y naranja,Cuero PVH y acero,21000,75x73x130 cm,24,Gaming profesional sesiones largas,Reclinacion 180 grados apoyabrazos 4D ajustables cojines de memoria pistou clase 4 soporta hasta 160kg estructura metalica reforzada
SIL003,Silla oficina ergonomica ProSeat,silla,285000,4,Silla de oficina ergonomica con malla y soporte lumbar,ProSeat,Ergo Mesh Pro,Negro,Malla y nylon,12500,65x65x115 cm,12,Oficina escritorio,Apoyabrazos ajustables soporte lumbar incorporado base de nylon reforzada reclinacion 110 grados altura ajustable
PAD001,Mouse pad SteelSeries QcK Mini,pad,18000,20,Mouse pad pequeño superficie tela para precision,SteelSeries,QcK Mini,Negro,Tela y goma,40,25x21x0.2 cm,3,Gaming oficina,Superficie de tela optimizada base de goma antideslizante bordos cosidos resistente al desgaste
PAD002,Mouse pad Razer Goliathus Extended,pad,45000,15,Mouse pad XL para teclado y mouse con superficie tejida,Razer,Goliathus Extended,Negro,Tela y goma,500,92x29.4x0.3 cm,3,Gaming setup completo,Superficie tejida micro textura base de goma antideslizante bordos cosidos resistente a derrames cubre teclado y mouse
ALM001,SSD Samsung 980 PRO 1TB,almacenamiento,225000,5,Disco solido NVMe PCIe 4.0 de alta velocidad,Samsung,980 PRO 1TB,Negro,Metal y plastico,9,8x2.2x0.8 cm,60,PC gaming workstation,Interfaz NVMe PCIe 4.0 lectura 7000 MB/s escritura 5000 MB/s factor M.2 2280 controlador Elpis software Samsung Magician
ALM002,SSD Kingston A2000 500GB,almacenamiento,85000,12,Disco solido NVMe PCIe 3.0 para upgrade economico,Kingston,A2000 500GB,Negro,Metal,8,8x2.2x0.4 cm,60,PC y notebook upgrade,Interfaz NVMe PCIe 3.0 lectura 2200 MB/s escritura 2000 MB/s factor M.2 2280 cifrado XTS-AES 256-bit
ALM003,Disco externo Toshiba Canvio 2TB,almacenamiento,95000,8,Disco rigido externo USB 3.0 portatil,Toshiba,Canvio Basics 2TB,Negro,Plastico,150,11x7.5x1.4 cm,24,Backup almacenamiento portatil,Conexion USB 3.0 2TB de capacidad compatible Windows y Mac plug and play sin software adicional formato NTFS
MEM001,Memoria RAM Corsair Vengeance 32GB DDR4,memoria,225000,6,Kit de memoria RAM 2x16GB DDR4 3600MHz con disipador,Corsair,Vengeance LPX 32GB,Negro,Aluminio,180,13.3x3.4x0.8 cm,120,Gaming workstation,Kit 2x16GB DDR4 3600MHz CL18 disipador de aluminio LPX bajo perfil compatible Intel y AMD XMP 2.0
MEM002,Memoria RAM G.Skill Trident Z 32GB DDR5,memoria,385000,4,Kit memoria DDR5 2x16GB 6000MHz con RGB,G.Skill,Trident Z5 RGB 32GB,Negro y plata,Aluminio,210,13.3x4.2x0.8 cm,120,Gaming high end overclocking,Kit 2x16GB DDR5 6000MHz CL36 RGB direccional Intel XMP 3.0 disipador aluminio mecanizado iluminacion personalizable
MEM003,Memoria RAM Kingston Fury 16GB DDR4,memoria,95000,10,Memoria RAM 16GB DDR4 3200MHz para gaming,Kingston,Fury Beast 16GB,Negro,Aluminio,90,13.3x3.4x0.7 cm,120,Gaming y productividad,Memoria 16GB DDR4 3200MHz CL16 disipador asimetrico Plug and play XMP 2.0 compatible Intel y AMD
COL001,Cooler CPU DeepCool AK620,cooler,135000,5,Cooler de aire para CPU doble torre con 6 heatpipes,DeepCool,AK620,Negro,Aluminio y cobre,1456,13x12.7x16 cm,60,Gaming workstation overclocking,Doble torre 6 heatpipes ventiladores 120mm soporta hasta 260W TDP compatible Intel LGA1700 LGA1200 y AMD AM5 AM4
COL002,Watercooling Cooler Master ML240L,cooler,245000,4,Refrigeracion liquida AIO 240mm con RGB,Cooler Master,MasterLiquid ML240L V2 RGB,Negro,Aluminio y plastico,1300,28x12x2.7 cm,24,Gaming overclock,Radiador 240mm 2 ventiladores SickleFlow 120mm RGB bomba dual chamber compatible Intel LGA1700 y AMD AM5
HUB001,Hub USB 3.0 4 puertos Genius,hub,14000,30,Hub USB 3.0 compacto con 4 puertos,Genius,GH-04,Negro,Plastico,50,9x3x1.5 cm,12,Oficina hogar,4 puertos USB 3.0 5Gbps cable integrado 30cm plug and play compatible Windows Mac Linux sin alimentacion externa
HUB002,Hub USB-C 7 en 1 Anker,hub,105000,8,Hub USB-C multifuncion con HDMI 4K y lector SD,Anker,A8346,Gris espacial,Aluminio,118,11.8x4.2x1.4 cm,24,Notebook productividad multimedia,7 en 1 HDMI 4K 30Hz 2 puertos USB 3.0 lector SD y microSD USB-C PD 100W compatible MacBook iPad Pro
CAB001,Cable HDMI 2m 4K,cable,9500,40,Cable HDMI 2.0 de 2 metros para 4K 60Hz,Genericos,HDMI 2.0 2m,Negro,PVC y cobre,150,200x1x0.5 cm,12,Multimedia general,HDMI 2.0 4K 60Hz HDR Ethernet integrado conectores chapados en oro compatible TV PC consolas
CAB002,Cable USB-C a USB-C 1m Anker,cable,12000,25,Cable USB-C a USB-C con carga rapida 100W,Anker,PowerLine III 1m,Negro,Nylon trenzado,40,100x0.6 cm,18,Carga rapida transferencia datos,USB-C a USB-C 100W PD carga rapida USB 2.0 480Mbps datos largo 1 metro trenzado en nylon resistente
GAM001,Joystick Logitech F310,gamepad,55000,10,Gamepad cableado con USB para PC,Logitech,F310,Negro,Plastico,222,15x9x6 cm,24,Gaming PC casual,Conexion USB layout estilo PlayStation 4 botones de accion D-pad de 8 direcciones 2 joysticks analogicos compatible Windows Steam
GAM002,Gamepad Xbox Wireless,gamepad,125000,6,Control inalambrico oficial de Xbox compatible con PC,Microsoft,Xbox Wireless Controller,Negro Carbon,Plastico,287,15x10x6 cm,12,Gaming PC y Xbox,Inalambrico Bluetooth y adaptador opcional bateria AA 40 horas vibracion impulse hibrido D-pad compatible Xbox Series X S One PC iOS Android
CAR001,Cargador Anker 65W GaN,cargador,75000,10,Cargador USB-C de 65W con tecnologia GaN compacto,Anker,Nano II 65W,Negro,Plastico,112,5x3x3 cm,18,Notebook tablet smartphone,USB-C PD 3.0 65W tecnologia GaN II 50 porciento mas chico carga MacBook Pro 13 al 100 porciento en 70 minutos
SOP001,Soporte monitor articulado VESA,accesorio,85000,8,Soporte articulado para monitor con montaje VESA,NorthBayou,F80,Negro,Acero y aluminio,2800,40x40x60 cm,24,Oficina y gaming setup,Compatible VESA 75x75 y 100x100 soporta monitores hasta 32 pulgadas y 9kg articulado con 4 ejes ajuste de altura rotacion 360 grados
ILU001,Lampara LED escritorio Xiaomi,iluminacion,45000,15,Lampara LED de escritorio con brillo ajustable,Xiaomi,Mi LED Desk Lamp 1S,Blanco,Aluminio y plastico,750,45x12x12 cm,12,Oficina estudio,LED 6W temperatura color 2600K-5000K 4 modos brillo ajustable plegable control tactil control via Mi Home app
LIM001,Kit limpieza pantallas,accesorio,8500,30,Kit con liquido limpiador y paño microfibra,GoldenTech,Clean Kit Pro,Azul,Plastico y tela,250,15x10x5 cm,3,Mantenimiento general,Liquido limpiador 250ml sin amoniaco paño microfibra 30x30 cm seguro para pantallas LCD LED OLED tablets y notebooks
ORG001,Organizador cables escritorio,accesorio,12000,20,Bandeja organizadora de cables debajo de escritorio,IKEA,Signum,Plata,Metal,800,70x16x10 cm,12,Oficina hogar,Bandeja metalica para organizar cables y adaptadores se monta debajo del escritorio capacidad 5kg incluye tornillos y plantilla
ADA001,Adaptador WiFi USB TP-Link,redes,18000,18,Adaptador WiFi USB de doble banda AC600,TP-Link,Archer T2U Nano,Negro,Plastico,8,2x1.5x0.7 cm,24,PC notebook sin WiFi,USB 2.0 doble banda 2.4GHz y 5GHz hasta 600Mbps tamaño ultra compacto compatible Windows Mac Linux
BAT001,Bateria externa Xiaomi 20000mAh,bateria,55000,12,Power bank de 20000mAh con carga rapida 22.5W,Xiaomi,Redmi Power Bank 20000,Negro,Plastico,440,15x7x3 cm,18,Smartphone tablet viaje,Capacidad 20000mAh carga rapida 22.5W salida USB-A y USB-C entrada USB-C carga simultanea 2 dispositivos pantalla LED indicador
SOP002,Soporte ergonomico notebook,accesorio,25000,15,Soporte plegable para notebook con ajuste de altura,Genericos,Stand Pro,Plateado,Aluminio,650,28x24x3 cm,12,Notebook ergonomia,Soporte plegable de aluminio ajustable en 6 niveles compatible notebooks 10 a 17 pulgadas ventilacion mejorada portatil
